preco_medio_close,lag_1_mes_preco_medio_close,lag_2_mes_preco_medio_close,lag_3_mes_preco_medio_close,lag_4_mes_preco_medio_close,lag_5_mes_preco_medio_close,lag_6_mes_preco_medio_close,media_movel_6_meses_preco_medio_close,desvio_padrao_movel_6_meses_preco_medio_close,valor_minimo_6_meses_preco_medio_close,valor_maximo_6_meses_preco_medio_close
89.406784,88.948755,84.567209,67.889745,109.151134,155.657651,138.143506,99.270213,27.934171,67.889745,155.657651
100.524652,89.406784,88.948755,84.567209,67.889745,109.151134,155.657651,90.08138,12.892699,67.889745,109.151134
121.220432,100.524652,89.406784,88.948755,84.567209,67.889745,109.151134,92.092929,16.222604,67.889745,121.220432
120.803605,121.220432,100.524652,89.406784,88.948755,84.567209,67.889745,100.911906,15.004998,84.567209,121.220432
114.443771,120.803605,121.220432,100.524652,89.406784,88.948755,84.567209,105.891333,13.65097,88.948755,121.220432
131.097723,114.443771,120.803605,121.220432,100.524652,89.406784,88.948755,112.916161,13.966124,89.406784,131.097723
116.806739,131.097723,114.443771,120.803605,121.220432,100.524652,89.406784,117.48282,9.198146,100.524652,131.097723
98.835585,116.806739,131.097723,114.443771,120.803605,121.220432,100.524652,117.201309,9.72368,98.835585,131.097723
94.440134,98.835585,116.806739,131.097723,114.443771,120.803605,121.220432,112.737926,12.580983,94.440134,131.097723
110.741415,94.440134,98.835585,116.806739,131.097723,114.443771,120.803605,111.060894,12.053651,94.440134,131.097723
105.049725,110.741415,94.440134,98.835585,116.806739,131.097723,114.443771,109.49522,12.122468,94.440134,131.097723
123.237273,105.049725,110.741415,94.440134,98.835585,116.806739,131.097723,108.185145,9.946552,94.440134,123.237273
107.046686,123.237273,105.049725,110.741415,94.440134,98.835585,116.806739,106.558469,9.171434,94.440134,123.237273
117.131777,107.046686,123.237273,105.049725,110.741415,94.440134,98.835585,109.607835,9.138301,94.440134,123.237273
112.140138,117.131777,107.046686,123.237273,105.049725,110.741415,94.440134,112.557835,6.126305,105.049725,123.237273
88.105635,112.140138,117.131777,107.046686,123.237273,105.049725,110.741415,108.785205,11.063483,88.105635,123.237273
91.869262,88.105635,112.140138,117.131777,107.046686,123.237273,105.049725,106.588462,12.764829,88.105635,123.237273
79.305437,91.869262,88.105635,112.140138,117.131777,107.046686,123.237273,99.266489,13.681849,79.305437,117.131777
88.190441,79.305437,91.869262,88.105635,112.140138,117.131777,107.046686,96.123781,13.699427,79.305437,117.131777
91.404167,88.190441,79.305437,91.869262,88.105635,112.140138,117.131777,91.835847,9.972181,79.305437,112.140138
67.065111,91.404167,88.190441,79.305437,91.869262,88.105635,112.140138,84.323342,8.749906,67.065111,91.869262
91.284543,67.065111,91.404167,88.190441,79.305437,91.869262,88.105635,84.85316,9.053852,67.065111,91.869262
101.926092,91.284543,67.065111,91.404167,88.190441,79.305437,91.869262,86.529298,10.933405,67.065111,101.926092
118.412117,101.926092,91.284543,67.065111,91.404167,88.190441,79.305437,93.047078,15.420102,67.065111,118.412117
138.609204,118.412117,101.926092,91.284543,67.065111,91.404167,88.190441,101.450206,22.565912,67.065111,138.609204
119.747314,138.609204,118.412117,101.926092,91.284543,67.065111,91.404167,106.174064,22.932127,67.065111,138.609204
124.886389,119.747314,138.609204,118.412117,101.926092,91.284543,67.065111,115.810943,15.377034,91.284543,138.609204
112.57374,124.886389,119.747314,138.609204,118.412117,101.926092,91.284543,119.359143,11.196099,101.926092,138.609204
121.029879,112.57374,124.886389,119.747314,138.609204,118.412117,101.926092,122.543107,8.064016,112.57374,138.609204
114.203637,121.029879,112.57374,124.886389,119.747314,138.609204,118.412117,121.841694,8.560568,112.57374,138.609204
104.635436,114.203637,121.029879,112.57374,124.886389,119.747314,138.609204,116.179399,6.611056,104.635436,124.886389
114.224249,104.635436,114.203637,121.029879,112.57374,124.886389,119.747314,115.258888,6.432274,104.635436,124.886389
106.930007,114.224249,104.635436,114.203637,121.029879,112.57374,124.886389,112.266158,5.34147,104.635436,121.029879
131.200333,106.930007,114.224249,104.635436,114.203637,121.029879,112.57374,115.37059,8.867273,104.635436,131.200333
123.612845,131.200333,106.930007,114.224249,104.635436,114.203637,121.029879,115.801084,9.188457,104.635436,131.200333
108.662168,123.612845,131.200333,106.930007,114.224249,104.635436,114.203637,114.877506,9.573059,104.635436,131.200333
105.550063,108.662168,123.612845,131.200333,106.930007,114.224249,104.635436,115.029944,9.414727,105.550063,131.200333
92.118345,105.550063,108.662168,123.612845,131.200333,106.930007,114.224249,111.345627,12.745389,92.118345,131.200333
61.618713,92.118345,105.550063,108.662168,123.612845,131.200333,106.930007,103.793744,22.678008,61.618713,131.200333
49.616258,61.618713,92.118345,105.550063,108.662168,123.612845,131.200333,90.196399,26.33282,49.616258,123.612845
44.979597,49.616258,61.618713,92.118345,105.550063,108.662168,123.612845,77.090857,26.006004,44.979597,108.662168
51.556926,44.979597,49.616258,61.618713,92.118345,105.550063,108.662168,67.573317,22.984074,44.979597,105.550063
62.66969,51.556926,44.979597,49.616258,61.618713,92.118345,105.550063,60.426588,15.518611,44.979597,92.118345
59.842148,62.66969,51.556926,44.979597,49.616258,61.618713,92.118345,55.047222,6.674734,44.979597,62.66969
48.144892,59.842148,62.66969,51.556926,44.979597,49.616258,61.618713,52.801585,6.344457,44.979597,62.66969
51.491876,48.144892,59.842148,62.66969,51.556926,44.979597,49.616258,53.114188,6.22489,44.979597,62.66969
47.660057,51.491876,48.144892,59.842148,62.66969,51.556926,44.979597,53.560931,5.699035,47.660057,62.66969
54.19069,47.660057,51.491876,48.144892,59.842148,62.66969,51.556926,53.999892,5.628772,47.660057,62.66969
51.189181,54.19069,47.660057,51.491876,48.144892,59.842148,62.66969,52.086474,4.100124,47.660057,59.842148
56.582942,51.189181,54.19069,47.660057,51.491876,48.144892,59.842148,51.543273,3.140156,47.660057,56.582942
54.881173,56.582942,51.189181,54.19069,47.660057,51.491876,48.144892,52.665986,2.920991,47.660057,56.582942
67.463582,54.881173,56.582942,51.189181,54.19069,47.660057,51.491876,55.327937,6.140949,47.660057,67.463582
65.358512,67.463582,54.881173,56.582942,51.189181,54.19069,47.660057,58.27768,5.998301,51.189181,67.463582
73.663045,65.358512,67.463582,54.881173,56.582942,51.189181,54.19069,61.523072,7.881288,51.189181,73.663045
